"Meaning of Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Government Organization","Kansas","2007","GO0001","Total Federal, state, and local government units","State and Local ","3,932"
"Government Organization","Kansas","2012","GO0001","Total Federal, state, and local government units","State and Local ","3,827"
"Government Organization","Kansas","2017","GO0001","Total Federal, state, and local government units","State and Local ","3,793"
"Government Organization","Kentucky","1942","GO0001","Total Federal, state, and local government units","State and Local ","771"
"Government Organization","Kentucky","1952","GO0001","Total Federal, state, and local government units","State and Local ","796"
"Government Organization","Kentucky","1957","GO0001","Total Federal, state, and local government units","State and Local ","822"
"Government Organization","Kentucky","1962","GO0001","Total Federal, state, and local government units","State and Local ","873"
"Government Organization","Kentucky","1967","GO0001","Total Federal, state, and local government units","State and Local ","953"
"Government Organization","Kentucky","1972","GO0001","Total Federal, state, and local government units","State and Local ","1,136"
"Government Organization","Kentucky","1977","GO0001","Total Federal, state, and local government units","State and Local ","1,184"
"Government Organization","Kentucky","1982","GO0001","Total Federal, state, and local government units","State and Local ","1,242"
"Government Organization","Kentucky","1987","GO0001","Total Federal, state, and local government units","State and Local ","1,304"
"Government Organization","Kentucky","1992","GO0001","Total Federal, state, and local government units","State and Local ","1,321"
"Government Organization","Kentucky","1997","GO0001","Total Federal, state, and local government units","State and Local ","1,367"
"Government Organization","Kentucky","2002","GO0001","Total Federal, state, and local government units","State and Local ","1,440"
"Government Organization","Kentucky","2007","GO0001","Total Federal, state, and local government units","State and Local ","1,347"
"Government Organization","Kentucky","2012","GO0001","Total Federal, state, and local government units","State and Local ","1,339"
"Government Organization","Kentucky","2017","GO0001","Total Federal, state, and local government units","State and Local ","1,323"
"Government Organization","Louisiana","1942","GO0001","Total Federal, state, and local government units","State and Local ","523"
"Government Organization","Louisiana","1952","GO0001","Total Federal, state, and local government units","State and Local ","489"
"Government Organization","Louisiana","1957","GO0001","Total Federal, state, and local government units","State and Local ","584"
"Government Organization","Louisiana","1962","GO0001","Total Federal, state, and local government units","State and Local ","629"
"Government Organization","Louisiana","1967","GO0001","Total Federal, state, and local government units","State and Local ","734"
"Government Organization","Louisiana","1972","GO0001","Total Federal, state, and local government units","State and Local ","835"
"Government Organization","Louisiana","1977","GO0001","Total Federal, state, and local government units","State and Local ","459"
"Government Organization","Louisiana","1982","GO0001","Total Federal, state, and local government units","State and Local ","469"
"Government Organization","Louisiana","1987","GO0001","Total Federal, state, and local government units","State and Local ","453"
"Government Organization","Louisiana","1992","GO0001","Total Federal, state, and local government units","State and Local ","459"
"Government Organization","Louisiana","1997","GO0001","Total Federal, state, and local government units","State and Local ","468"
"Government Organization","Louisiana","2002","GO0001","Total Federal, state, and local government units","State and Local ","474"
"Government Organization","Louisiana","2007","GO0001","Total Federal, state, and local government units","State and Local ","527"
"Government Organization","Louisiana","2012","GO0001","Total Federal, state, and local government units","State and Local ","530"
"Government Organization","Louisiana","2017","GO0001","Total Federal, state, and local government units","State and Local ","517"
"Government Organization","Maine","1942","GO0001","Total Federal, state, and local government units","State and Local ","584"
"Government Organization","Maine","1952","GO0001","Total Federal, state, and local government units","State and Local ","664"
"Government Organization","Maine","1957","GO0001","Total Federal, state, and local government units","State and Local ","645"
"Government Organization","Maine","1962","GO0001","Total Federal, state, and local government units","State and Local ","659"
"Government Organization","Maine","1967","GO0001","Total Federal, state, and local government units","State and Local ","699"
"Government Organization","Maine","1972","GO0001","Total Federal, state, and local government units","State and Local ","715"
"Government Organization","Maine","1977","GO0001","Total Federal, state, and local government units","State and Local ","780"
"Government Organization","Maine","1982","GO0001","Total Federal, state, and local government units","State and Local ","807"
"Government Organization","Maine","1987","GO0001","Total Federal, state, and local government units","State and Local ","801"
"Government Organization","Maine","1992","GO0001","Total Federal, state, and local government units","State and Local ","797"
"Government Organization","Maine","1997","GO0001","Total Federal, state, and local government units","State and Local ","833"
"Government Organization","Maine","2002","GO0001","Total Federal, state, and local government units","State and Local ","827"
"Government Organization","Maine","2007","GO0001","Total Federal, state, and local government units","State and Local ","851"
"Government Organization","Maine","2012","GO0001","Total Federal, state, and local government units","State and Local ","841"
"Government Organization","Maine","2017","GO0001","Total Federal, state, and local government units","State and Local ","835"
"Government Organization","Maryland","1942","GO0001","Total Federal, state, and local government units","State and Local ","207"
"Government Organization","Maryland","1952","GO0001","Total Federal, state, and local government units","State and Local ","328"
"Government Organization","Maryland","1957","GO0001","Total Federal, state, and local government units","State and Local ","328"
"Government Organization","Maryland","1962","GO0001","Total Federal, state, and local government units","State and Local ","352"
"Government Organization","Maryland","1967","GO0001","Total Federal, state, and local government units","State and Local ","362"
"Government Organization","Maryland","1972","GO0001","Total Federal, state, and local government units","State and Local ","404"
